"","OBSPRED_ID","NoRWeST_ID","MonthYear","MonthlyMax","MonthlyMin","MonthlyMean","SD","Ndays","MaxDailyRange","SampleMonth","SampleYear","QAQC"
"1",1,"MidSnake_1","Jul-10",29.36,"16.79 or 17 ",22.42294118,0.77414834,17,12.57,7,2010,0
"2",1,"MidSnake_1","Aug-10",27.87,"10.38",19.77653226,2.433763053,31,9.44,8,2010,1
"3",1,"MidSnake_1","Sep-10",22.67,"9.38",15.05344444,1.441077495,30,10.44,9,2010,1
"4",1,"MidSnake_1","Oct-10",18.57,"13.4",15.59854167,0.319715857,4,5.17,10,2010,1
"5",2,"MidSnake_2","Jun-10",23.97,"17.6",21.0275,0.727141473,2,6.03,6,2010,1
"6",2,"MidSnake_2","Jul-10",25.98,"12.79",19.82013441,1.270726682,31,9.81,7,2010,1
"7",2,"MidSnake_2","Aug-10",24.67,"8.53",17.80373656,2.31560984,31,8.91,8,2010,1
"8",2,"MidSnake_2","Sep-10",19.95,"7.71",13.44991667,1.371783112,30,7.88,9,2010,1
"9",3,"MidSnake_3","Jul-10",27.65,"10.63",18.83930108,1.249868273,31,13.6,7,2010,1
"10",3,"MidSnake_3","Aug-10",26.2,"6.48",16.53037634,2.471719326,31,13.55,8,2010,1
"11",3,"MidSnake_3","Sep-10",22.22,"5.56",12.57112069,1.522973613,29,12.42,9,2010,1
"12",4,"MidSnake_4","Jul-10",25.88,"13.76",19.12610215,1.143879453,31,10.63,7,2010,1
"13",4,"MidSnake_4","Aug-10",23.82,"9.55",16.58037634,1.910985067,31,9.37,8,2010,1
"14",4,"MidSnake_4","Sep-10",19.55,"8.11",12.85545977,1.224704078,29,8.51,9,2010,1
"15",5,"MidSnake_5","Jun-10",12.33,"9.18",10.69690476,0.57638013,7,1.94,6,2010,0
"16",5,"MidSnake_5","Jul-10",14.42,"8.56",11.85876344,1.107163603,31,2.38,7,2010,0
"17",5,"MidSnake_5","Aug-10",16.17,"7.46",12.72556452,1.471259104,31,4.81,8,2010,0
"18",5,"MidSnake_5","Sep-10",13.01,"6.32",8.904358974,1.090981549,26,3.43,9,2010,0
"19",6,"MidSnake_6","Jul-10",23.22,"12.48",17.96379032,1.220133035,31,7.43,7,2010,0
"20",6,"MidSnake_6","Aug-10",22.41,"10.68",16.73206989,1.788535531,31,7.09,8,2010,1
"21",6,"MidSnake_6","Sep-10",18.46,"9.65",14.16130952,1.230637525,7,6.23,9,2010,1
"22",7,"MidSnake_7","Jul-10",21.33,"16.91",19.71921296,0.742574432,18,3,7,2010,1
"23",7,"MidSnake_7","Aug-10",20.98,"11.05",17.09567204,2.066422414,31,4.61,8,2010,1
"24",7,"MidSnake_7","Sep-10",16.33,"9.87",13.21330247,1.137384926,27,3.69,9,2010,1
"25",8,"MidSnake_8","Jul-10",22.31,"13.44",18.29871212,0.554129994,11,7.92,7,2010,1
"26",8,"MidSnake_8","Aug-10",21.79,"7.56",15.4663172,2.029692891,31,8.65,8,2010,1
"27",8,"MidSnake_8","Sep-10",18.1,"6.73",12.3522619,1.662116129,7,7.79,9,2010,0
"28",9,"MidSnake_9","Jul-10",20.12,"17.2",18.69733333,0.26640983,10,2.32,7,2010,0
"29",9,"MidSnake_9","Aug-10",19.57,"9.82",13.94666667,1.902506826,31,2.79,8,2010,0
"30",9,"MidSnake_9","Sep-10",13.8,"7.66",10.49583333,0.932217969,14,2.82,9,2010,1
"31",10,"MidSnake_10","Jun-10",22.77,"9.18",15.571875,0.992369474,8,11.87,6,2010,1
"32",10,"MidSnake_10","Jul-10",21.86,"7.99",15.79032258,1.302727155,31,10.72,7,2010,1
"33",10,"MidSnake_10","Aug-10",19.76,"7.21",14.37196237,1.922414925,31,7.43,8,2010,1
"34",10,"MidSnake_10","Sep-10",16.27,"6.3",10.52512821,1.439724722,13,6.72,9,2010,1
"35",11,"MidSnake_11","Jun-10",20.88,"8.24",13.90287037,0.753057899,9,10.57,6,2010,0
"36",11,"MidSnake_11","Jul-10",21.38,"8.09",14.64048387,1.275058201,31,10.75,7,2010,1
"37",11,"MidSnake_11","Aug-10",20.26,"6.88",13.73443548,1.688460089,31,10.04,8,2010,1
"38",11,"MidSnake_11","Sep-10",17.88,"4.81",11.23212121,1.40174883,22,9.64,9,2010,0
"39",12,"MidSnake_12","Jun-97",19.95,"10.28",15.04005952,1.196120191,21,7.27,6,1997,0
"40",12,"MidSnake_12","Jul-97",21.76,"10.6",16.81517742,1.5544682,31,7.39,7,1997,1
"41",12,"MidSnake_12","Aug-97",21.76,"12.31",16.34244355,1.354552942,31,6.45,8,1997,1
"42",12,"MidSnake_12","Sep-97",17.19,"11.37",14.59521154,0.921780223,13,3.78,9,1997,0
"43",13,"MidSnake_13","Jun-97",20.2,"7.98",13.864025,1.473092504,20,9.57,6,1997,0
"44",13,"MidSnake_13","Jul-97",25.07,"8.75",16.85217742,1.975541968,31,11.18,7,1997,1
"45",13,"MidSnake_13","Aug-97",25.59,"10.45",16.64033065,1.517991029,31,10.72,8,1997,1
"46",13,"MidSnake_13","Sep-97",20.69,"8.9",14.89025,1.428337021,14,8.89,9,1997,0
"47",14,"MidSnake_14","May-98",17.24,"4.33",9.621980769,1.451593023,26,11.04,5,1998,1
"48",14,"MidSnake_14","Jun-98",20.29,"6.67",13.0401,1.43263434,30,11.41,6,1998,0
"49",14,"MidSnake_14","Jul-98",22.95,"13.77",18.54009677,0.903511053,31,6.64,7,1998,1
"50",14,"MidSnake_14","Aug-98",22.45,"11.77",16.76683065,1.714761943,31,6.61,8,1998,1
"51",14,"MidSnake_14","Sep-98",18.85,"8.83",13.42526667,2.493302514,30,4.41,9,1998,1
"52",14,"MidSnake_14","Oct-98",11.3,"4.8",7.342571429,1.315843801,14,2.49,10,1998,1
"53",15,"MidSnake_15","Jul-98",25.91,"11.5",17.320625,0.655809861,25,12.86,7,1998,1
"54",15,"MidSnake_15","Aug-98",25.39,"10.42",16.43584005,1.064291297,31,12.14,8,1998,1
"55",15,"MidSnake_15","Sep-98",23.66,"8.71",14.14538194,1.771859174,30,11.7,9,1998,0
"56",15,"MidSnake_15","Oct-98",17.6,"4.06",9.296296296,1.440740165,18,8.68,10,1998,1
"57",16,"MidSnake_16","Jul-98",30.01,"10.5",18.37661667,0.887223635,25,17.52,7,1998,1
"58",16,"MidSnake_16","Aug-98",29.46,"8.02",17.22676075,1.670386689,31,17.4,8,1998,1
"59",16,"MidSnake_16","Sep-98",26.04,"5.07",13.63936111,2.887260295,30,15.39,9,1998,0
"60",16,"MidSnake_16","Oct-98",17.05,"0.01",6.28068287,2.078673546,18,11.18,10,1998,0
"61",17,"MidSnake_17","May-98",18.1,"2.8",9.047875,1.620005573,26,11.51,5,1998,0
"62",17,"MidSnake_17","Jun-98",22.02,"5.76",12.01688333,1.155312496,30,13.48,6,1998,1
"63",17,"MidSnake_17","Jul-98",22.02,"10.57",15.52955645,0.651135923,31,11.29,7,1998,1
"64",17,"MidSnake_17","Aug-98",20.68,"8.87",14.76762097,1.37158964,31,8.07,8,1998,1
"65",17,"MidSnake_17","Sep-98",17.62,"6.7",12.20509167,2.346306149,30,5.8,9,1998,1
"66",17,"MidSnake_17","Oct-98",11.66,"2.48",6.248152778,1.715490073,18,4.35,10,1998,1
"67",18,"MidSnake_18","May-99",19.43,"5.47",12.23375,1.220885544,11,11.91,5,1999,1
"68",18,"MidSnake_18","Jun-99",19.43,"5.47",13.08055556,2.62059401,30,9.49,6,1999,0
"69",18,"MidSnake_18","Jul-99",21.4,"8.74",15.30200941,1.429228752,31,8.17,7,1999,0
"70",18,"MidSnake_18","Aug-99",20.07,"8.43",14.91592742,1.396902482,31,6.42,8,1999,1
"71",18,"MidSnake_18","Sep-99",12.93,"3.6",9.581006944,1.76012339,30,4.96,9,1999,1
"72",18,"MidSnake_18","Oct-99",9.36,"4.38",6.710333333,0.779768799,5,3.12,10,1999,1
"73",19,"MidSnake_19","May-99",21.83,"5.14",12.73385417,1.289231427,12,14.46,5,1999,1
"74",19,"MidSnake_19","Jun-99",26.27,"4.67",13.48425,2.569685458,30,17.2,6,1999,1
"75",19,"MidSnake_19","Jul-99",29.7,"5.76",16.21759409,1.652765452,31,19.47,7,1999,1
"76",19,"MidSnake_19","Aug-99",29.33,"5.92",16.24935484,1.658328244,31,17.86,8,1999,0
"77",19,"MidSnake_19","Sep-99",22.5,"0.88",11.21270139,2.163046196,30,16.58,9,1999,0
"78",19,"MidSnake_19","Oct-99",15.7,"1.83",7.584041667,0.723804549,5,13.39,10,1999,1
"79",20,"MidSnake_20","Jun-00",21.45,"12.52",16.91029167,0.674460827,10,7.47,6,2000,1
"80",20,"MidSnake_20","Jul-00",22.45,"10.5",16.99625672,1.575170174,31,7.13,7,2000,1
"81",20,"MidSnake_20","Aug-00",22.62,"10.81",15.89908602,1.964629042,31,5.93,8,2000,1
"82",20,"MidSnake_20","Sep-00",15.48,"4.92",10.75652778,2.360696944,30,4.65,9,2000,0
"83",20,"MidSnake_20","Oct-00",12.21,"2.08",6.567715517,1.80905663,29,3.11,10,2000,1
"84",21,"MidSnake_21","Jun-00",23.42,"8.16",15.05776515,0.616980615,11,13.25,6,2000,1
"85",21,"MidSnake_21","Jul-00",25.32,"8.47",15.38947581,1.255446897,31,13.14,7,2000,1
