OBSPRED_ID,NoRWeST_ID,MonthYear,MonthlyMax,MonthlyMin,MonthlyMean,SD,Ndays,MaxDailyRange,SampleMonth,SampleYear
1,MidSnake_1,07-2010,29.36,16.79,22.42294118,0.77414834,17,12.57,7,2010
1,MidSnake_1,08-2010,27.87,10.38,19.77653226,2.433763053,31,9.44,8,2010
1,MidSnake_1,09-2010,22.67,9.38,15.05344444,1.441077495,30,10.44,9,2010
1,MidSnake_1,10-2010,18.57,13.4,15.59854167,0.319715857,4,5.17,10,2010
2,MidSnake_2,06-2010,23.97,17.6,21.0275,0.727141473,2,6.03,6,2010
2,MidSnake_2,07-2010,25.98,12.79,19.82013441,1.270726682,31,9.81,7,2010
2,MidSnake_2,08-2010,24.67,8.53,17.80373656,2.31560984,31,8.91,8,2010
2,MidSnake_2,09-2010,19.95,7.71,13.44991667,1.371783112,30,7.88,9,2010
3,MidSnake_3,07-2010,27.65,10.63,18.83930108,1.249868273,31,13.6,7,2010
3,MidSnake_3,08-2010,26.2,6.48,16.53037634,2.471719326,31,13.55,8,2010
3,MidSnake_3,09-2010,22.22,5.56,12.57112069,1.522973613,29,12.42,9,2010
4,MidSnake_4,07-2010,25.88,13.76,19.12610215,1.143879453,31,10.63,7,2010
4,MidSnake_4,08-2010,23.82,9.55,16.58037634,1.910985067,31,9.37,8,2010
4,MidSnake_4,09-2010,19.55,8.11,12.85545977,1.224704078,29,8.51,9,2010
5,MidSnake_5,06-2010,12.33,9.18,10.69690476,0.57638013,7,1.94,6,2010
5,MidSnake_5,07-2010,14.42,8.56,11.85876344,1.107163603,31,2.38,7,2010
5,MidSnake_5,08-2010,16.17,7.46,12.72556452,1.471259104,31,4.81,8,2010
5,MidSnake_5,09-2010,13.01,6.32,8.904358974,1.090981549,26,3.43,9,2010
6,MidSnake_6,07-2010,23.22,12.48,17.96379032,1.220133035,31,7.43,7,2010
6,MidSnake_6,08-2010,22.41,10.68,16.73206989,1.788535531,31,7.09,8,2010
6,MidSnake_6,09-2010,18.46,9.65,14.16130952,1.230637525,7,6.23,9,2010
7,MidSnake_7,07-2010,21.33,16.91,19.71921296,0.742574432,18,3,7,2010
7,MidSnake_7,08-2010,20.98,11.05,17.09567204,2.066422414,31,4.61,8,2010
7,MidSnake_7,09-2010,16.33,9.87,13.21330247,1.137384926,27,3.69,9,2010
8,MidSnake_8,07-2010,22.31,13.44,18.29871212,0.554129994,11,7.92,7,2010
8,MidSnake_8,08-2010,21.79,7.56,15.4663172,2.029692891,31,8.65,8,2010
8,MidSnake_8,09-2010,18.1,6.73,12.3522619,1.662116129,7,7.79,9,2010
9,MidSnake_9,07-2010,20.12,17.2,18.69733333,0.26640983,10,2.32,7,2010
9,MidSnake_9,08-2010,19.57,9.82,13.94666667,1.902506826,31,2.79,8,2010
9,MidSnake_9,09-2010,13.8,7.66,10.49583333,0.932217969,14,2.82,9,2010
